https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",mopi.idn,❤️,"Jun 22, 2020",1
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",andreas88pratama,Ada tips jajan aman di era pandemi min? 🙏 saya sampe kurus ga jajan2,"Jun 22, 2020",0
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",gf1558b,Kok ga nemu lgi ya apa gw kebanyakan dlm kamar hehebeb,"Jun 22, 2020",1
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",mila_christina_01,Udah jualan ya si ibu...,"Jun 22, 2020",1
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",lovemelovemenotok,"Si ibu abis pegang duit terus motong gorengan pake tangan, yummyyyy....","Jun 22, 2020",0
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",hey_juudeee,"Ooh ini ternyata pelakunya yg sering buat bakwannya abis.. selalu kalo sy mau beli, pasti abis bakwannya @kulinertanjungduren","Jun 22, 2020",0
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",antonius_alvin,Waduh uda lama gk makan ginian..tnjung Duren utara tuh deket mana sih...kfc?,"Jun 22, 2020",2
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",nopiiiny,@firdha.laras,"Jun 22, 2020",1
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",depinrp,Encer banget sambelnya,"Jun 30, 2020",0
https://www.instagram.com/p/CBuVbxoAO04/,"Jun 22, 2020",callmeirenz,"wuih, si ibu langganan gw dr masih sekolah nih. hahaha. pecelnga enak banget memang. the best !!","Nov 5, 2020",2
https://www.instagram.com/p/CHM6wa1AyPL/,"Nov 5, 2020",byhafshah.kitchen,❤️❤️❤️❤️,"Nov 5, 2020",1
https://www.instagram.com/p/CHM6wa1AyPL/,"Nov 5, 2020",rullysulistiyowati,Deket rumah 😂,"Nov 5, 2020",2
https://www.instagram.com/p/CHM6wa1AyPL/,"Nov 5, 2020",pempekikrc,Enaaakk😮👅👅,"Nov 6, 2020",2
https://www.instagram.com/p/CHM6wa1AyPL/,"Nov 5, 2020",mmahditha,Mantpp,"Nov 6, 2020",2
https://www.instagram.com/p/CHM6wa1AyPL/,"Nov 5, 2020",3dywu,😉👍🏻,"Nov 21, 2020",1
https://www.instagram.com/p/CFW0k6igos_/,"Sep 20, 2020",peachgumjakarta,Whoaaa thanks for tagging us...😍🍑 enjoy our special dessert..😊,"Sep 20, 2020",2
https://www.instagram.com/p/CFW0k6igos_/,"Sep 20, 2020",mmahditha,Seger ya 😋 . Beli dimana itu min ?,"Sep 21, 2020",1
https://www.instagram.com/p/CFW0k6igos_/,"Sep 20, 2020",yanti.tdu.22,"Harga berapa itu,","Sep 21, 2020",1
https://www.instagram.com/p/CFW0k6igos_/,"Sep 20, 2020",dapur_sayax,Freshhh ❤️,"Oct 5, 2020",2
https://www.instagram.com/p/CFyuj80A1cx/,"Oct 1, 2020",mmahditha,Mantpp❤️,"Oct 1, 2020",2
https://www.instagram.com/p/CFyuj80A1cx/,"Oct 1, 2020",ferrolisiardo,Wahhh bakalan dicoba nih! 🔥,"Oct 1, 2020",2
https://www.instagram.com/p/CFMVjG0Bq-X/,"Sep 16, 2020",deriandharmadi,Lah rumah ku di gang 8 nya 😁 kepleset langsung nyampe situ,"Sep 16, 2020",2
https://www.instagram.com/p/CFMVjG0Bq-X/,"Sep 16, 2020",yanti.tdu.22,Sebelah mana nya dari pasar kopro,"Sep 16, 2020",1
https://www.instagram.com/p/CFMVjG0Bq-X/,"Sep 16, 2020",jclairefood,Bikin laper 😍,"Sep 20, 2020",2
https://www.instagram.com/p/CByKd2Igba8/,"Jun 23, 2020",drummerkuliner,Gak mau liat ah,"Jun 23, 2020",2
https://www.instagram.com/p/CByKd2Igba8/,"Jun 23, 2020",hendijajan,Mantap nyaa 😍😍,"Jun 24, 2020",2
https://www.instagram.com/p/CByKd2Igba8/,"Jun 23, 2020",yanti.tdu.22,Di online udh ada blom,"Jun 24, 2020",1
